,holiday,workingday,temp,atemp,humidity,windspeed,count,season_1.0,season_2.0,season_3.0,season_4.0,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0,day_of_week_0.0,day_of_week_1.0,day_of_week_2.0,day_of_week_3.0,day_of_week_4.0,day_of_week_5.0,day_of_week_6.0,weather_1.0,weather_2.0,weather_3.0,temp_norm,atemp_norm,humidity_norm,windspeed_norm
0,0.0,1.0,24.0,26.0,76.5833,0.118167,6073.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6237984004347147,0.6501056228195711,0.9206640387013577,-0.9287579609233578
1,0.0,1.0,15.0,19.0,73.375,0.174129,6606.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.1803103987409734,-0.0547585456750225,0.6968518804599256,-0.21350154950424685
2,0.0,1.0,26.0,28.0,56.9583,0.253733,7363.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.8024892446959787,0.8514953852465978,-0.4483829972641412,0.8039258364827959
3,0.0,0.0,0.0,4.0,58.62500000000001,0.169779,2431.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-1.5204917307004537,-1.565181763877723,-0.33211340771796516,-0.26909937284281815
4,0.0,1.0,23.0,23.0,91.7083,0.097021,1996.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5344529783040827,0.34802097917903096,1.9757894613244495,-1.199027287892882
5,0.0,1.0,24.0,26.0,69.7083,0.342667,4451.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6237984004347147,0.6501056228195711,0.4410615738726795,1.9406009676994647
6,0.0,1.0,7.0,11.0,33.3478,0.347835,5315.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-0.8950737757860295,-0.8603175953831295,-2.095459942113233,2.0066537380474503
7,0.0,1.0,23.0,26.0,50.7083,0.269283,4891.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5344529783040827,0.6501056228195711,-0.884385238017485,1.0026720785321719
8,0.0,0.0,23.0,26.0,50.1667,0.247521,8714.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5344529783040827,0.6501056228195711,-0.9221674481922069,0.7245295885335533
9,0.0,1.0,30.0,30.0,61.9583,0.169771,7347.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.1598709332185069,1.0528851476736245,-0.09958120466146622,-0.26920162171332596
10,0.0,0.0,26.0,27.0,84.5833,0.228858,5255.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8024892446959787,0.7508005040330845,1.4787469068656376,0.48599575474786205
11,0.0,0.0,30.0,30.0,56.1765,0.304659,4334.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.1598709332185069,1.0528851476736245,-0.5029216455554958,1.454816583917299
12,0.0,1.0,2.0,5.0,49.5,0.230725,2210.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1.3418008864391897,-1.4644868826642097,-0.9686766792178475,0.5098580849026008
