lepton pT,lepton eta,lepton phi,missing energy magnitude,missing energy phi,jet 1 pt,jet 1 eta,jet 1 phi,jet 1 b-tag,jet 2 pt,jet 2 eta,jet 2 phi,jet 2 b-tag,jet 3 pt,jet 3 eta,jet 3 phi,jet 3 b-tag,jet 4 pt,jet 4 eta,jet 4 phi,jet 4 b-tag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb,class
3.768157362937927246e-01,-1.583727359771728516e+00,-1.707551956176757812e+00,9.908968806266784668e-01,1.143970042467117310e-01,1.253553152084350586e+00,6.198585033416748047e-01,-1.479572176933288574e+00,2.173076152801513672e+00,7.536583542823791504e-01,7.752164006233215332e-01,-6.671113371849060059e-01,2.214872121810913086e+00,1.278172135353088379e+00,-1.193163156509399414e+00,5.047146677970886230e-01,0.000000000000000000e+00,1.108232736587524414e+00,-4.635103940963745117e-01,3.971555829048156738e-01,0.000000000000000000e+00,5.224494934082031250e-01,1.318622469902038574e+00,9.823982119560241699e-01,1.359610319137573242e+00,9.648088216781616211e-01,1.309991359710693359e+00,1.083203196525573730e+00,1.000000000000000000e+00
7.073301672935485840e-01,8.760304003953933716e-02,-3.997416198253631592e-01,9.187422990798950195e-01,-1.229936122894287109e+00,1.172847151756286621e+00,-5.525737404823303223e-01,8.860526680946350098e-01,2.173076152801513672e+00,1.298316955566406250e+00,7.616171836853027344e-01,-1.057711601257324219e+00,2.214872121810913086e+00,6.074742078781127930e-01,4.589382708072662354e-01,1.017844796180725098e+00,0.000000000000000000e+00,4.965505897998809814e-01,9.564532041549682617e-01,2.362311035394668579e-01,0.000000000000000000e+00,4.396963417530059814e-01,8.288854360580444336e-01,9.922410845756530762e-01,1.157819747924804688e+00,2.215779781341552734e+00,1.189586162567138672e+00,9.379758834838867188e-01,1.000000000000000000e+00
6.172896623611450195e-01,2.658393085002899170e-01,-1.345227479934692383e+00,1.154581189155578613e+00,1.036646008491516113e+00,9.548220634460449219e-01,3.772521615028381348e-01,-1.479604542255401611e-01,0.000000000000000000e+00,1.063506841659545898e+00,-1.936720125377178192e-02,1.110113859176635742e+00,0.000000000000000000e+00,1.471531152725219727e+00,2.049788534641265869e-01,-1.064182162284851074e+00,2.548224449157714844e+00,1.485513806343078613e+00,-3.977173864841461182e-01,-5.424131751060485840e-01,0.000000000000000000e+00,1.024505734443664551e+00,1.026255011558532715e+00,9.862891435623168945e-01,9.277198910713195801e-01,1.371080398559570312e+00,9.816718697547912598e-01,9.174358844757080078e-01,1.000000000000000000e+00
8.509922623634338379e-01,-3.808759450912475586e-01,-7.126373797655105591e-02,1.468704342842102051e+00,-7.951334714889526367e-01,6.918177008628845215e-01,8.832596540451049805e-01,4.968812167644500732e-01,0.000000000000000000e+00,1.616349220275878906e+00,1.243961080908775330e-01,1.182796597480773926e+00,1.107436060905456543e+00,1.287304401397705078e+00,1.603766679763793945e-01,-9.155131578445434570e-01,2.548224449157714844e+00,9.446631669998168945e-01,7.957183122634887695e-01,-1.520171046257019043e+00,0.000000000000000000e+00,1.197754740715026855e+00,1.100533723831176758e+00,9.872618913650512695e-01,1.353452682495117188e+00,1.455382823944091797e+00,9.946817755699157715e-01,9.535534977912902832e-01,1.000000000000000000e+00
7.675400972366333008e-01,-6.915719509124755859e-01,-4.019111394882202148e-02,6.148427724838256836e-01,1.437651216983795166e-01,7.486141920089721680e-01,3.970567584037780762e-01,-8.736400008201599121e-01,0.000000000000000000e+00,1.147862195968627930e+00,1.273102164268493652e-01,1.324833035469055176e+00,2.214872121810913086e+00,7.297066450119018555e-01,-7.580642700195312500e-01,-1.123538851737976074e+00,0.000000000000000000e+00,8.480305075645446777e-01,1.069735065102577209e-01,5.020339488983154297e-01,1.550980687141418457e+00,9.219477176666259766e-01,8.640797138214111328e-01,9.828391075134277344e-01,1.373221993446350098e+00,6.014921069145202637e-01,9.186213016510009766e-01,9.570632576942443848e-01,0.000000000000000000e+00
3.050761520862579346e-01,1.172604322433471680e+00,-1.900034993886947632e-01,2.572121024131774902e-01,1.041990756988525391e+00,1.542573928833007812e+00,9.991165399551391602e-01,-1.674712300300598145e+00,0.000000000000000000e+00,2.165540218353271484e+00,5.022604465484619141e-01,1.707870811223983765e-01,2.214872121810913086e+00,1.184214711189270020e+00,-1.609411239624023438e-01,-1.683821558952331543e+00,2.548224449157714844e+00,7.170774340629577637e-01,-4.418570101261138916e-01,3.250170052051544189e-01,0.000000000000000000e+00,9.185382127761840820e-01,9.306060075759887695e-01,9.871513843536376953e-01,1.039281129837036133e+00,1.797096133232116699e+00,1.230691790580749512e+00,9.698858261108398438e-01,1.000000000000000000e+00
8.286651372909545898e-01,-6.823197007179260254e-02,-1.557739496231079102e+00,6.298079490661621094e-01,6.939466595649719238e-01,1.122096776962280273e+00,-1.102151274681091309e+00,1.342303514480590820e+00,2.173076152801513672e+00,5.727350115776062012e-01,-2.369120121002197266e+00,-5.184141993522644043e-01,0.000000000000000000e+00,1.626429200172424316e+00,3.597211241722106934e-01,-5.538229346275329590e-01,2.548224449157714844e+00,7.669759392738342285e-01,9.781245142221450806e-02,3.877221047878265381e-01,0.000000000000000000e+00,8.879494667053222656e-01,1.266315221786499023e+00,9.915729761123657227e-01,8.768290877342224121e-01,2.171977519989013672e+00,1.311993122100830078e+00,1.134190678596496582e+00,1.000000000000000000e+00
6.443750262260437012e-01,1.175526261329650879e+00,1.552918553352355957e+00,1.797988533973693848e+00,-1.002805471420288086e+00,1.006671667098999023e+00,-5.654466748237609863e-01,1.492878347635269165e-01,1.086538076400756836e+00,1.976684927940368652e-01,-1.208328485488891602e+00,-2.509862184524536133e-01,0.000000000000000000e+00,1.415507912635803223e+00,1.837786659598350525e-02,1.456640481948852539e+00,2.548224449157714844e+00,7.535884976387023926e-01,1.927542984485626221e-01,-6.796337664127349854e-02,0.000000000000000000e+00,8.671696186065673828e-01,9.049338102340698242e-01,1.109878182411193848e+00,1.765061736106872559e+00,1.444424152374267578e+00,1.301377654075622559e+00,1.034613013267517090e+00,1.000000000000000000e+00
2.005596637725830078e+00,8.005481958389282227e-01,-5.545501708984375000e-01,2.468441873788833618e-01,-9.644324183464050293e-01,1.131349086761474609e+00,7.495786547660827637e-01,1.015776515007019043e+00,2.173076152801513672e+00,7.090885043144226074e-01,7.130485773086547852e-01,1.612234830856323242e+00,0.000000000000000000e+00,6.582287549972534180e-01,1.972681879997253418e+00,-5.266408920288085938e-01,0.000000000000000000e+00,3.969970345497131348e-01,-2.482274055480957031e+00,3.560920953750610352e-01,0.000000000000000000e+00,8.889848589897155762e-01,7.761830091476440430e-01,9.820899367332458496e-01,1.383969783782958984e+00,8.268909454345703125e-01,1.019371986389160156e+00,1.163640975952148438e+00,1.000000000000000000e+00
8.202467560768127441e-01,-1.880301237106323242e-01,9.098343253135681152e-01,5.229985713958740234e-01,-1.453908562660217285e+00,1.520038485527038574e+00,-5.347496271133422852e-01,-4.002006649971008301e-01,2.173076152801513672e+00,8.799395561218261719e-01,-7.440119385719299316e-01,1.379206299781799316e+00,2.214872121810913086e+00,8.914538621902465820e-01,8.985883593559265137e-01,1.676870346069335938e+00,0.000000000000000000e+00,1.348719000816345215e+00,2.543832361698150635e-01,1.424509584903717041e-01,0.000000000000000000e+00,1.028156995773315430e+00,1.523610711097717285e+00,9.935515522956848145e-01,1.287352085113525391e+00,1.711640238761901855e+00,1.552583694458007812e+00,1.207513093948364258e+00,1.000000000000000000e+00
